count,hate_speech_count,offensive_language_count,neither_count,class,tweet,cleaned_tweet
3,0,3,0,1,"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch",autoworid hennessey venom gt 128584 http://t.co/i8egmnkaj9 that's one sexy bitch
3,0,3,0,1,"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!","bossbytchh seh pussy wetter shower curtain....#ahmesehwetness""&lt;lmao"
3,0,3,0,1,"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""",bro_hen314 eaglesnation every eagles need see pic posted bitch said racist shit
3,1,2,0,1,"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn",bvsedchink yo fuck skateboarding y'all wood pushing faggots man ball life http://t.co/vbczp6hmt7 amjemiebenn
3,0,1,2,2,"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!",babyanimalpics baby monkey bathtime http://t.co/7kpwadlf0r awwwwe soooo adorable
3,0,3,0,1,"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol",baylaagottabody 128514;&#128514;&#128514;&#128514 ain't shit damn skippy lol
3,1,2,0,1,"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance","beeasyjrizzy u ever kill ant sidewalk think damn nigga way get pussy""no bs must b gt;30%chance"
3,0,3,0,1,"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol",beenbasedb kudabrazyy http://t.co/luubgl9y5u 0 rings 0 mvps 0 bitches lol
3,1,2,0,1,"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""",beenflynsolo ppl talk bad ghetto/hood kid growing nigga funnnnnnn
9,0,7,2,1,"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples",bestproadvice facts tattoos...tattoo http://t.co/zwnbhpdz8e he's pussy tattooing nipples
3,0,3,0,1,"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches..",bill215 128175;&#128175;&#128175 rt nel_ayden bitches wanting act like niggas bad 128553;&#128553;&#128553 shit aint cuteeeee niggas act like bitches
3,0,3,0,1,"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof",bitchjones92 get worshiping bitch http://t.co/r37cejcjou woof woof
3,1,2,0,1,"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe",blackchiquitita wow rt thatmanpalmer i'm lost buttcheek piercings http://t.co/yn6guyouq6 yeah she's hoe
3,0,3,0,1,"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her",blacknerdjade ok sis she'd rather broke bitch shrugs she'll tell works
3,2,1,0,0,"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad",blackman38tide whalelookyhere howdydowdy11 queer gaywad
3,0,3,0,1,"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol",brokenpiecesmsc itsnotadam faggot read tweets dat k wasn't even funny lol
3,0,3,0,1,"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE",brosconfessions bitch ungrateful http://t.co/06e77bgwbx fr lulwhore
3,0,3,0,1,"""@CASHandBOOBIES: I been kidnapped yo bitch""",cashandboobies kidnapped yo bitch
3,3,0,0,0,"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican",cb_baby24 white_thunduh alsarabsss hes beaner smh tell hes mexican
3,1,2,0,1,"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo",ccobey aydanmccoy happy birthday nigs thanks yo
6,1,5,0,1,"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!",chlldhoodruiner ur teacher tells u u homework https://t.co/rkk5vawij1 bitch need go
3,1,2,0,1,"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h",caelang15 22edham caelang15 nigga eating hoe lol hell yea lol john paul nigga said john paul http://t.co/osipbkpr9h
3,0,3,0,1,"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?""",canifuckornah would y'all lil ugly bald headed bitches stop making make-up amp weave
3,1,2,0,1,"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig",carelessone92 leafs better win damn game go riot shit earlychristmas better start looting nig
3,0,3,0,1,"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it.""",causewereguys going back school sucks dick hoes attend
3,0,3,0,1,"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old",causewereguys way fuck yo bitch http://t.co/j906t5ze2r 9 year old
3,0,3,0,1,"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard",celeynichole white_thunduh come never bring food dont car retard
3,0,3,0,1,"""@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople",chadmfverbeck richnow doesn't show hella tinder hoes im friend anymore chill brought like like 8 prople
3,1,2,0,1,"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy",chandlerparsons bout cowboys shutup pussy
3,0,3,0,1,"""@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh",clicquotsuave lmaooooooooooo nigga krillz_nuh_care http://t.co/aanpsujmyi lt;bitch want likes depressing shit..foh
3,0,3,0,1,"""@Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz","coley_cee lil_aerii girl know spitting g shit amp going lbvs""bitch plz"
3,0,3,0,1,"""@Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again","coley_cee let make couple tweets cuzzo page won't get twitter jail.""lmao bitch don't trick"
3,0,2,1,1,"""@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds.""",comedyposts harlem shake excuse go full retard 30 seconds
3,0,3,0,1,"""@ComedyTruth: amen miley &#128591; http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh","comedytruth amen miley 128591 http://t.co/p2kb2tfyxr""okay don't need act like hoe bc she's emotionally damaged foh"
3,0,3,0,1,"""@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;""",corybandz one loyal female wayyyyy better hoes idc 128175
3,0,3,0,1,"""@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""""""

&#128533;",crhedrys pussy licking pussy meow meow stopwhitepeople2014 128049 https://t.co/keegdcjs5k&#8221 128533
3,0,3,0,1,"""@DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands",dbab_holloway check 12th man cowboysnation even faggot ny fans stands
3,0,3,0,1,"""@DGotBricks: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch",dgotbricks happen vixen ent bitches got ran threw side like foothill bitch
3,0,3,0,1,"""@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow",daedavidavie white_thunduh im bitch okay nudes pat 128554;&#128527;&#128056 wow
3,3,0,0,0,"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn",devilgrimz vigxrarts you're fucking gay blacklisted hoe holding tehgodclan anyway http://t.co/xuccwoetmn
3,0,3,0,1,"""@DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows",diamondloudkush fuck wrong bitches nobody knows
3,0,3,0,1,"""@Dietrich1892: Yall shut up:p"" make me bitch",dietrich1892 yall shut up:p make bitch
3,1,2,0,1,"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch.""",dionairish hate i'm pregnant type bitch
3,0,3,0,1,"""@DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top 3",doyou_q got bitches dm don't ever read'em y top 3
3,0,0,3,2,"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started",domworldpeace baseball season win yankees love started
3,0,3,0,1,"""@Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu..""",dommoneek little stupid bitch don't fuck yoooooouuuu
3,0,3,0,1,"""@DreadheadAri: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL",dreadheadari really asked dead ass serious tho could say bitch wheet lol
3,0,0,3,2,"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms.""",dunderbail i'm early bird i'm night owl i'm wise worms
3,0,1,2,2,"""@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.",edgarpixar overdosing heavy drugs doesn't sound bad tonight pussy shit every day
3,0,0,3,2,"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They *are* fairy tale creatures.",el_grillo1 pit bulls photographed lovely fairy tale creatures http://t.co/q0sm89oolh&#8221 fairy tale creatures
3,0,3,0,1,"""@Ferocious_Ghost: @1stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol",ferocious_ghost 1stname_bravo aw fag don't tweet aw lol
3,0,0,3,2,"""@FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @BENBALLER hahaha",flokid88 long lakers trash could careless that's real cc benballer hahaha
3,0,3,0,1,"""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot",frosstyy h0rheyd didn't say anything tho kiss faggot
3,0,0,3,2,"""@FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup",funnypicsdepot play soccer cheat girls wear khaki coloured cargos haircut http://t.co/zuai7qwbir 128514 yup
3,0,3,0,1,"""@G27Status: I could go for a fat ass bitch on my lap"" same",g27status could go fat ass bitch lap
3,0,3,0,1,"""@GEDMelle: 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle","gedmelle 17 missed calls 128544;&#128545;""das yo p.o bitch twitter finna screamn freemoneymelle"
6,0,6,0,1,"""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;",gtm_al ya side bitch gotta know it's rules shit..anybody ask cousin jersey thinkin bout moving lmmfao 128514;&#128514;&#128514;&#128514
3,0,3,0,1,"""@GagaTom1: &#8220;@MaleFoot: 3 | Amo los pies http://t.co/4QE1hDkK8i&#8221;"" fuck yeah",gagatom1 8220;@malefoot 3 amo los pies http://t.co/4qe1hdkk8i&#8221 fuck yeah
3,0,3,0,1,"""@GirlThatsVonte: These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh",girlthatsvonte hoes thinking meat won't slap ass 128564;&#128075 ainna bruh
3,0,3,0,1,"""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;","girlthatsvonte yall bitches wit edges talking 128553;&#128564;&#9995;""&#128514;&#128514;&#128514"
3,0,3,0,1,"""@GirlThatsVonte: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit","girlthatsvonte yall still going trick treating year nah?""hell yeah ima da sweet tooth bandit steal bitches bags n shit"
3,0,3,0,1,"""@Girllssues: I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck",girllssues wanna sex mom fuck right pussy came damn got hacked like fuck
6,0,6,0,1,"""@Gizzy_Jones94: If she kiss u with her eyes open watch that bitch!""lmfao","gizzy_jones94 kiss u eyes open watch bitch!""lmfao"
3,0,3,0,1,"""@Goofstroop: You a woulda coulda shoulda ass hoe &#128563;&#128586;""",goofstroop woulda coulda shoulda ass hoe 128563;&#128586
3,0,3,0,1,"""@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisher""preciate that bitch roll up!","gotti_ltf happy bday bitch ass nigga jetsandaswisher""preciate bitch roll"
3,0,3,0,1,"""@HBMostDope: @1Jayee @PipinHoes used to send that bitch up""",hbmostdope 1jayee pipinhoes used send bitch
6,0,6,0,1,"""@HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;""",hbmostdope ugly bitches like i'm wcw duh bitch ain't nobody elses&#128514;&#128514
3,1,2,0,1,"""@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao",halotgmg 1stname_bravo nigga know hacky sack hoes nah throw look passes lmao
3,1,2,0,1,"""@HeartlessFuck: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em.""",heartlessfuck glad i'm getting outta atlanta nothing bunch niggas amp outta jail amp dumb bitches mad kids fuckin em
3,0,1,2,2,"""@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc",hermosaalma isn't ghetto.....it's smart https://t.co/mpazq3jswf i'm idc
3,0,2,1,1,"""@HiImJoriB: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?",hiimjorib would wife hoe cuz wouldn't care cheating force relationship first place
3,0,3,0,1,"""@HornyFacts: Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu",hornyfacts single isn't excuse hoe theonemiss_luu
3,1,2,0,1,"""@HoskinsTy96: White boy power bitch"" black power bitch",hoskinsty96 white boy power bitch black power bitch
3,0,3,0,1,"""@Hudgens_11: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill.",hudgens_11 lets get drunk get blowed spit shit spark blunts amp fuck hoes bro white dudes chill
3,0,3,0,1,"""@IScoutGirls: @verbally_abrupt bitch where u been"" Around the world and back. Where you been?",iscoutgirls verbally_abrupt bitch u around world back
3,0,3,0,1,"""@ItsYahBoiRay: @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *",itsyahboiray anelylove don't get dick sucked yo party bad bitch i'm fr gone set 128514;&#128514;&#128514;&#128514 anelylove
3,0,2,1,1,"""@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot.""",itsyesie oomf soooo cute probably hoes lot
3,0,3,0,1,"""@JAYten9: In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe",jayten9 every cartoon alway nuffsaid15 saving hoes lmao http://t.co/9ukd8wtz6x lmao damn captain saveahoe
3,0,1,2,2,"""@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs",jreebo wants get nose bad bois scally chav sockfetish stinking http://t.co/feqxgn0w6i hot sox legs
3,0,3,0,1,"""@JamesyNBA: I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do",jamesynba wish bitch like brother keezy 128530 ooooow bet
6,0,6,0,1,"""@JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or a pussy",jasminepore dressed cat halloween basic pussy
4,0,4,0,1,"""@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;3",jewelxo pornhub get gaming stream feature dumb bitches gtfo pornhub get katie&lt;3
3,0,3,0,1,"""@JoeBudden: stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH",joebudden stop scared choke sex u bitch ass niggas she&#8217;ll like says guy hits women bed foh
3,0,3,0,1,"""@Johnny55Perez: @white_thunduh ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig",johnny55perez white_thunduh ha well iguess make hoes loyal bro theyll never loyal y hoes nig
6,0,6,0,1,"""@KazAtta: @1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed",kazatta 1takehov oh man 5 molly ho fuck ya seed fixed
3,0,3,0,1,"""@KelsieBelsi: You're not a man if you refer to every girl as a bitch""",kelsiebelsi you're man refer every girl bitch
3,0,3,0,1,"""@KeyshawnSwag: Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!",keyshawnswag lmfao cat started beating shit nigga finally got pussy nigga
3,0,1,2,2,"""@KeyshawnSwag: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?",keyshawnswag peel peel bring back rewind back i'm move shaq line ooooow tf said trash
3,0,2,1,1,"""@KingCuh: @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha",kingcuh 16stanleys io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha
3,0,3,0,1,"""@KingHendo95: @VonDreaam naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!",kinghendo95 vondreaam naw it's old tape new cover upcoming mixtape kingofthehill yeah i'm waiting hoe mayne
3,0,3,0,1,"""@KingTeej_: Ol dirty foot ass bitches.."" this was too funny to me.",kingteej ol dirty foot ass bitches funny
